rank	char	match_score
234	가	1.000
235	각	1.000
236	간	1.000
237	갇	1.000
238	갈	1.000
239	감	1.000
240	갑	1.000
241	갔	1.000
242	강	1.000
243	갖	1.000
244	같	1.000
245	개	1.000
246	갱	1.000
247	갸	1.000
248	거	1.000
249	걱	1.000
250	건	1.000
251	걸	1.000
252	검	1.000
253	겁	1.000
254	것	1.000
255	겉	1.000
256	게	1.000
257	겐	1.000
258	겔	1.000
259	겠	1.000
260	겡	1.000
261	겨	1.000
262	격	1.000
263	견	1.000
264	결	1.000
265	겸	1.000
266	겼	1.000
267	경	1.000
268	계	1.000
269	고	1.000
270	곡	1.000
271	곤	1.000
272	골	1.000
273	곳	1.000
274	공	1.000
275	과	1.000
276	관	1.000
277	광	1.000
278	괜	1.000
279	괴	1.000
280	교	1.000
281	구	1.000
282	국	1.000
283	군	1.000
284	굳	1.000
285	굴	1.000
286	굵	1.000
287	굽	1.000
288	궁	1.000
289	권	1.000
290	귀	1.000
291	귐	1.000
292	그	1.000
293	극	1.000
294	근	1.000
295	글	1.000
296	금	1.000
297	급	1.000
298	긋	1.000
299	기	1.000
300	긴	1.000
301	길	1.000
302	깃	1.000
303	깊	1.000
304	까	1.000
305	깎	1.000
306	깐	1.000
307	깔	1.000
308	깨	1.000
309	꺼	1.000
310	껄	1.000
311	껍	1.000
312	껏	1.000
313	께	1.000
314	껴	1.000
315	꼈	1.000
316	꼬	1.000
317	꼴	1.000
318	꼽	1.000
319	꽃	1.000
320	꽤	1.000
321	꾸	1.000
322	꾼	1.000
323	꿀	1.000
324	꿈	1.000
325	꿉	1.000
326	꿰	1.000
327	뀔	1.000
328	끄	1.000
329	끈	1.000
330	끊	1.000
331	끌	1.000
332	끔	1.000
333	끝	1.000
334	끼	1.000
335	낌	1.000
336	나	1.000
337	낙	1.000
338	난	1.000
339	날	1.000
340	남	1.000
341	납	1.000
342	낫	1.000
343	났	1.000
344	낮	1.000
345	낳	1.000
346	내	1.000
347	낸	1.000
348	낼	1.000
349	냈	1.000
350	냉	1.000
351	냐	1.000
352	냥	1.000
353	너	1.000
354	널	1.000
355	넓	1.000
356	넘	1.000
357	넣	1.000
358	네	1.000
359	넥	1.000
360	녀	1.000
361	년	1.000
362	념	1.000
363	노	1.000
364	녹	1.000
365	놀	1.000
366	놈	1.000
367	농	1.000
368	높	1.000
369	놓	1.000
370	뇌	1.000
371	누	1.000
372	눈	1.000
373	눌	1.000
374	눙	1.000
375	뉴	1.000
376	느	1.000
377	늑	1.000
378	는	1.000
379	늘	1.000
380	능	1.000
381	늦	1.000
382	니	1.000
383	닌	1.000
384	닐	1.000
385	님	1.000
386	닙	1.000
387	닝	1.000
388	다	1.000
389	닥	1.000
390	단	1.000
391	달	1.000
392	담	1.000
393	답	1.000
394	닷	1.000
395	당	1.000
396	닿	1.000
397	대	1.000
398	댄	1.000
399	더	1.000
400	덕	1.000
401	던	1.000
402	덤	1.000
403	덩	1.000
404	덮	1.000
405	데	1.000
406	덴	1.000
407	도	1.000
408	독	1.000
409	돈	1.000
410	돌	1.000
411	돕	1.000
412	동	1.000
413	돼	1.000
414	됐	1.000
415	되	1.000
416	된	1.000
417	될	1.000
418	됩	1.000
419	두	1.000
420	둑	1.000
421	둘	1.000
422	둠	1.000
423	둥	1.000
424	둬	1.000
425	뒀	1.000
426	뒤	1.000
427	뒷	1.000
428	듀	1.000
429	드	1.000
430	득	1.000
431	든	1.000
432	듣	1.000
433	들	1.000
434	듬	1.000
435	듯	1.000
436	등	1.000
437	디	1.000
438	딩	1.000
439	따	1.000
440	딱	1.000
441	딸	1.000
442	땅	1.000
443	때	1.000
444	떠	1.000
445	떤	1.000
446	떨	1.000
447	떻	1.000
448	떼	1.000
449	또	1.000
450	똑	1.000
451	뚜	1.000
452	뚝	1.000
453	뚫	1.000
454	뛰	1.000
455	뜬	1.000
456	뜯	1.000
457	뜻	1.000
458	띠	1.000
459	라	1.000
460	락	1.000
461	란	1.000
462	랄	1.000
463	람	1.000
464	랏	1.000
465	랐	1.000
466	랑	1.000
467	래	1.000
468	랙	1.000
469	랜	1.000
470	램	1.000
471	랫	1.000
472	랬	1.000
473	략	1.000
474	량	1.000
475	러	1.000
476	런	1.000
477	럴	1.000
478	럼	1.000
479	럽	1.000
480	럿	1.000
481	렁	1.000
482	렇	1.000
483	레	1.000
484	렌	1.000
485	렘	1.000
486	렛	1.000
487	려	1.000
488	력	1.000
489	련	1.000
490	렬	1.000
491	렵	1.000
492	렸	1.000
493	령	1.000
494	례	1.000
495	로	1.000
496	록	1.000
497	론	1.000
498	롱	1.000
499	뢰	1.000
500	료	1.000
501	룡	1.000
502	루	1.000
503	룩	1.000
504	룬	1.000
505	룰	1.000
506	뤼	1.000
507	류	1.000
508	률	1.000
509	륭	1.000
510	르	1.000
511	른	1.000
512	를	1.000
513	름	1.000
514	릅	1.000
515	리	1.000
516	릭	1.000
517	린	1.000
518	릴	1.000
519	림	1.000
520	립	1.000
521	링	1.000
522	마	1.000
523	막	1.000
524	만	1.000
525	많	1.000
526	말	1.000
527	맘	1.000
528	맛	1.000
529	망	1.000
530	맞	1.000
531	맡	1.000
532	매	1.000
533	맥	1.000
534	맨	1.000
535	맹	1.000
536	맺	1.000
537	머	1.000
538	먹	1.000
539	먼	1.000
540	멀	1.000
541	멈	1.000
542	멋	1.000
543	메	1.000
544	멘	1.000
545	멜	1.000
546	멧	1.000
547	며	1.000
548	면	1.000
549	멸	1.000
550	명	1.000
552	모	1.000
553	목	1.000
554	몫	1.000
555	몬	1.000
556	몰	1.000
557	몸	1.000
558	못	1.000
559	묘	1.000
560	묠	1.000
561	무	1.000
562	묵	1.000
563	문	1.000
564	묻	1.000
565	물	1.000
566	뭉	1.000
567	뭐	1.000
568	뭔	1.000
569	뭘	1.000
570	미	1.000
571	믹	1.000
572	민	1.000
573	믿	1.000
574	밀	1.000
575	바	1.000
576	박	1.000
577	밖	1.000
578	반	1.000
579	받	1.000
580	발	1.000
581	밝	1.000
582	밤	1.000
583	밥	1.000
584	방	1.000
585	배	1.000
586	백	1.000
587	뱀	1.000
588	뱉	1.000
589	버	1.000
590	벅	1.000
591	번	1.000
592	벌	1.000
593	범	1.000
594	법	1.000
595	벗	1.000
596	베	1.000
597	벨	1.000
598	벰	1.000
599	벼	1.000
600	벽	1.000
601	변	1.000
602	별	1.000
603	볍	1.000
604	병	1.000
605	보	1.000
606	복	1.000
607	본	1.000
608	볼	1.000
609	봄	1.000
610	봉	1.000
611	봐	1.000
612	봤	1.000
613	뵈	1.000
614	부	1.000
615	분	1.000
616	불	1.000
617	붉	1.000
618	붓	1.000
619	붙	1.000
620	뷰	1.000
621	브	1.000
622	븐	1.000
623	블	1.000
624	비	1.000
625	빈	1.000
626	빌	1.000
627	빙	1.000
628	빛	1.000
